,sex,age,address,famsize,Pstatus,Medu,Fedu,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,absences,alcohol,grade
25,F,16,U,GT3,T,2,2,home,mother,1,1,2,no,yes,yes,no,no,yes,yes,no,1,2,2,14,4,23
26,M,15,U,GT3,T,2,2,home,mother,1,1,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,2,3,35
27,M,15,U,GT3,T,4,2,other,mother,1,1,0,no,no,yes,no,yes,yes,yes,no,2,2,4,4,6,46
28,M,16,U,LE3,A,3,4,home,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,no,5,3,3,4,2,33
29,M,16,U,GT3,T,4,4,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,4,5,16,10,33
30,M,15,U,GT3,T,4,4,home,mother,1,2,0,no,yes,yes,no,no,yes,yes,no,5,4,2,0,7,32
31,M,15,U,GT3,T,4,4,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,1,0,2,50
32,M,15,R,GT3,T,4,3,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,4,5,2,0,2,49
33,M,15,U,LE3,T,3,3,course,mother,1,2,0,no,no,no,yes,no,yes,yes,no,5,3,2,0,2,30
34,M,16,U,GT3,T,3,2,home,mother,1,1,0,no,yes,yes,no,no,yes,yes,no,5,4,3,0,2,41
35,F,15,U,GT3,T,2,3,other,father,2,1,0,no,yes,no,yes,yes,yes,no,no,3,5,1,0,2,21
36,M,15,U,LE3,T,4,3,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,2,2,49
37,M,16,R,GT3,A,4,4,reputation,mother,2,3,0,no,yes,no,yes,yes,yes,yes,yes,2,4,3,7,2,46
38,F,15,R,GT3,T,3,4,course,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,2,2,2,35
39,F,15,R,GT3,T,2,2,reputation,mother,1,1,0,yes,yes,yes,yes,yes,yes,no,no,4,3,1,8,2,40
40,M,15,U,LE3,T,4,4,home,other,1,1,0,no,yes,no,no,no,yes,yes,yes,5,4,3,8,6,36
41,M,15,U,GT3,T,4,4,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,2,2,55
42,M,15,U,GT3,T,2,2,course,father,1,1,0,yes,yes,no,no,yes,yes,yes,no,5,4,1,0,2,27
43,F,16,U,LE3,T,2,2,course,father,2,2,1,yes,no,no,yes,yes,yes,yes,no,4,3,3,14,4,29
44,F,15,U,LE3,A,4,3,course,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,yes,5,2,2,8,2,22
45,F,16,U,LE3,A,3,3,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,3,5,12,5,34
46,M,16,U,GT3,T,4,3,reputation,mother,1,4,0,no,no,no,yes,yes,yes,yes,no,4,2,2,4,2,58
47,M,15,U,GT3,T,4,2,home,mother,1,2,0,no,yes,yes,no,yes,yes,no,no,4,3,3,2,4,44
48,F,15,U,GT3,T,4,4,other,father,1,2,1,yes,yes,no,yes,no,yes,yes,no,4,4,4,2,2,21
49,F,16,U,LE3,T,2,2,course,mother,3,2,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,2,5,38
50,F,15,U,LE3,T,4,2,other,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,2,2,37
51,M,15,U,LE3,A,4,2,other,father,2,1,1,no,no,no,no,yes,yes,no,no,5,5,5,6,7,32
52,F,15,U,GT3,T,4,4,course,mother,1,1,0,yes,yes,yes,no,yes,yes,yes,no,3,3,4,0,5,29
53,F,15,U,LE3,A,3,3,other,mother,1,1,0,no,no,yes,no,yes,yes,yes,no,5,3,4,6,8,36
54,F,16,U,GT3,A,2,1,other,mother,1,2,0,no,no,yes,yes,yes,yes,yes,yes,5,3,4,8,2,27
55,F,15,U,GT3,A,4,3,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,2,0,2,44
56,M,15,U,GT3,T,4,4,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,3,2,2,4,2,44
57,M,15,U,LE3,T,1,2,home,father,1,2,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,2,2,28
58,F,16,U,GT3,T,4,2,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,2,3,2,2,47
59,F,16,R,GT3,T,4,4,other,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,2,4,4,6,5,32
60,F,16,U,GT3,T,1,1,course,father,4,1,0,yes,yes,no,yes,no,yes,yes,yes,5,5,5,6,10,29
61,F,16,U,LE3,T,1,2,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,no,4,4,3,4,2,27
62,F,16,U,GT3,T,4,3,home,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,3,4,4,2,6,28
63,F,15,U,LE3,T,4,3,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,yes,4,4,4,0,6,30
64,F,16,U,LE3,T,4,3,course,mother,3,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,2,3,46
65,M,15,U,GT3,A,4,4,reputation,mother,1,4,0,no,yes,no,yes,no,yes,yes,yes,1,3,3,4,10,38
66,F,16,U,GT3,T,3,1,course,mother,1,4,0,yes,yes,yes,no,yes,yes,yes,no,4,3,3,4,3,20
67,F,15,R,LE3,T,2,2,reputation,mother,2,2,0,yes,yes,yes,no,yes,yes,yes,no,4,1,3,2,4,25
68,F,15,R,LE3,T,3,1,reputation,father,2,4,0,no,yes,no,no,no,yes,yes,no,4,4,2,12,5,48
69,M,16,U,GT3,T,3,1,reputation,father,2,4,0,no,yes,yes,no,yes,yes,yes,no,4,3,2,0,2,43
70,M,15,U,GT3,T,4,2,course,mother,1,4,0,no,no,no,no,yes,yes,yes,no,3,3,3,0,2,30
71,F,15,R,GT3,T,1,1,reputation,mother,1,2,2,yes,yes,no,no,no,yes,yes,yes,3,3,4,2,6,19
72,M,16,U,GT3,T,3,1,reputation,mother,1,1,0,no,no,no,yes,yes,yes,no,no,5,3,2,2,4,38
73,M,15,U,GT3,T,4,3,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,6,5,28
74,M,15,U,GT3,T,4,0,course,mother,2,4,0,no,no,no,yes,yes,yes,yes,no,3,4,3,8,2,32
75,F,16,U,GT3,T,2,2,reputation,mother,1,4,0,no,no,yes,no,yes,yes,yes,yes,5,2,3,0,4,33
76,M,17,U,GT3,T,2,1,home,mother,2,1,3,yes,yes,no,yes,yes,no,yes,no,4,5,1,2,2,26
77,F,16,U,GT3,T,3,4,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,4,3,12,3,15
78,M,15,U,GT3,T,2,3,course,father,1,1,0,yes,yes,yes,yes,no,yes,yes,yes,3,2,2,2,4,34
79,M,15,U,GT3,T,2,3,home,mother,1,3,0,yes,no,yes,no,no,yes,yes,no,5,3,2,4,3,32
80,F,15,U,LE3,T,3,2,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,4,4,10,2,19
81,M,15,U,LE3,T,2,2,home,mother,2,2,0,no,no,yes,yes,yes,yes,yes,no,5,3,3,4,4,45
82,F,15,U,GT3,T,1,1,home,father,1,2,0,no,yes,no,yes,no,yes,yes,no,4,3,2,2,5,29
83,F,15,U,GT3,T,4,4,reputation,father,2,2,2,no,no,yes,no,yes,yes,yes,yes,4,4,4,6,5,24
84,F,16,U,LE3,T,2,2,course,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,3,4,4,3,21
85,F,15,U,GT3,T,4,2,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,4,4,41
86,M,16,U,GT3,T,2,2,reputation,father,2,2,1,no,no,yes,yes,no,yes,yes,no,4,4,2,12,2,31
87,M,16,U,LE3,A,4,4,reputation,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,1,3,18,8,21
88,F,16,U,GT3,T,3,3,home,mother,1,3,0,no,yes,yes,no,yes,yes,yes,yes,4,3,3,0,4,22
89,F,15,U,GT3,T,4,3,reputation,mother,1,1,0,no,no,yes,yes,yes,yes,yes,no,4,5,5,4,4,51
90,F,16,U,LE3,T,3,1,home,father,1,2,0,yes,yes,no,no,yes,yes,no,no,3,3,3,4,5,19
91,F,16,U,GT3,T,4,2,home,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,no,5,3,3,0,2,31
92,M,15,U,LE3,T,2,2,reputation,mother,1,4,0,no,yes,no,yes,yes,yes,yes,no,4,3,4,6,2,38
93,F,15,R,GT3,T,1,1,home,mother,2,4,1,yes,yes,yes,yes,yes,yes,yes,no,3,1,2,2,2,27
94,M,16,R,GT3,T,4,3,reputation,mother,2,1,0,yes,yes,no,yes,no,yes,yes,no,3,3,3,2,2,41
95,F,16,U,GT3,T,2,1,course,mother,1,2,0,no,yes,yes,no,yes,yes,no,yes,4,3,5,2,2,27
96,F,16,U,GT3,T,4,4,reputation,mother,1,1,0,no,no,no,yes,no,yes,yes,no,5,3,4,6,3,39
97,F,16,U,GT3,T,4,3,course,mother,1,3,0,yes,yes,yes,no,yes,yes,yes,no,5,3,5,0,2,24
98,M,16,U,GT3,T,4,4,other,mother,1,1,0,yes,yes,yes,yes,yes,yes,yes,no,4,5,5,14,10,19
99,M,16,U,GT3,T,4,4,other,father,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,4,3,0,2,50
100,M,15,U,GT3,T,4,4,course,mother,1,1,0,no,yes,no,yes,no,yes,yes,no,5,3,3,4,2,37
101,M,15,U,GT3,A,3,4,course,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,4,4,0,2,52
102,F,15,U,GT3,A,3,3,reputation,father,1,4,0,yes,no,no,no,yes,yes,no,no,4,3,3,10,2,32
103,F,15,U,GT3,T,2,2,course,mother,1,4,0,yes,yes,yes,no,yes,yes,yes,no,5,1,2,8,2,23
104,M,16,U,GT3,T,3,3,home,father,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,2,2,52
105,M,15,R,GT3,T,4,4,home,father,4,4,0,no,yes,yes,yes,yes,yes,yes,yes,1,3,5,6,8,36
106,F,16,U,LE3,T,4,4,other,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,5,4,5,4,2,45
107,M,15,U,LE3,A,4,4,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,5,5,3,6,2,56
108,F,16,R,GT3,T,3,3,reputation,father,1,3,1,yes,yes,no,yes,yes,yes,yes,no,4,1,2,0,2,27
109,F,16,U,GT3,T,2,2,home,mother,1,2,1,yes,no,no,yes,yes,yes,yes,no,3,1,2,6,2,36
110,M,15,U,LE3,T,4,2,course,mother,1,1,0,no,no,no,no,yes,yes,yes,no,3,5,2,10,2,56
111,M,15,R,GT3,T,2,1,reputation,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,5,4,2,8,2,27
112,M,16,U,GT3,T,4,4,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,2,3,46
113,M,15,U,GT3,T,4,4,reputation,father,2,2,0,no,yes,no,yes,yes,yes,no,no,4,4,3,2,2,38
114,M,16,U,GT3,T,3,3,home,father,2,1,0,no,no,no,yes,yes,yes,yes,no,5,4,2,0,2,40
115,M,17,R,GT3,T,1,3,course,father,3,2,1,no,yes,no,yes,yes,yes,yes,no,5,2,4,20,5,24
116,M,15,U,GT3,T,3,4,reputation,father,1,1,0,no,no,no,no,yes,yes,yes,no,3,4,3,6,3,40
117,F,15,U,GT3,T,1,2,course,mother,1,2,0,no,no,no,no,no,yes,yes,no,3,2,3,2,3,46
118,M,15,U,GT3,T,2,2,home,father,1,4,0,no,yes,yes,yes,yes,yes,yes,no,5,5,4,6,3,45
119,F,16,U,LE3,T,2,4,course,father,2,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,2,2,2,3,39
120,M,16,U,GT3,T,4,4,course,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,3,4,4,18,5,38
121,F,16,U,GT3,T,2,2,home,mother,1,2,0,no,no,yes,no,yes,yes,yes,yes,5,4,4,0,2,23
122,M,15,U,GT3,T,3,4,home,father,1,1,0,yes,no,no,no,yes,yes,yes,no,5,5,5,0,5,38
123,F,15,U,LE3,A,3,4,home,mother,1,2,0,yes,no,no,yes,yes,yes,yes,yes,5,3,2,0,2,28
124,F,19,U,GT3,T,0,1,course,other,1,2,3,no,yes,no,no,no,no,no,no,3,4,2,2,2,24
125,M,18,R,GT3,T,2,2,reputation,mother,1,1,2,no,yes,no,yes,yes,yes,yes,no,3,3,3,0,3,11
126,M,16,R,GT3,T,4,4,course,mother,1,1,0,no,no,yes,yes,yes,yes,yes,no,3,5,5,8,7,54
127,F,15,R,GT3,T,3,4,course,father,2,3,2,no,yes,no,no,yes,yes,yes,yes,4,2,2,0,4,12
128,F,15,U,GT3,T,1,1,course,mother,3,1,0,no,yes,no,yes,no,yes,yes,yes,4,3,3,0,3,8
129,F,17,U,LE3,T,2,2,course,father,1,1,0,no,yes,no,no,yes,yes,yes,yes,3,4,4,12,4,35
130,F,16,U,GT3,A,3,4,course,father,1,1,0,no,no,no,no,yes,yes,yes,no,3,2,1,16,5,34
131,M,15,R,GT3,T,3,4,course,mother,4,2,0,no,yes,no,no,yes,yes,no,yes,5,3,3,0,2,9
132,F,15,U,GT3,T,4,4,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,3,3,0,2,11
133,M,17,R,GT3,T,3,4,course,mother,3,2,0,no,no,no,no,yes,yes,no,no,5,4,5,0,6,10
134,F,16,U,GT3,A,3,3,course,other,2,1,2,no,yes,no,yes,no,yes,yes,yes,4,3,2,0,2,4
135,M,16,U,LE3,T,1,1,course,mother,1,2,1,no,no,no,no,yes,yes,no,yes,4,4,4,0,4,38
136,F,15,U,GT3,T,4,4,course,mother,2,1,0,no,no,no,yes,yes,yes,yes,no,4,3,2,0,2,47
137,M,15,U,GT3,T,4,3,course,father,2,4,0,yes,yes,no,no,yes,yes,yes,no,2,2,2,0,2,16
138,M,16,U,LE3,T,2,2,reputation,father,2,1,2,no,yes,no,yes,yes,yes,yes,no,2,3,3,8,4,27
139,F,15,U,GT3,T,4,4,course,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,no,4,2,2,2,2,31
140,F,16,U,LE3,T,1,1,course,mother,1,1,0,no,no,no,no,yes,yes,yes,no,3,4,4,2,6,41
141,M,17,U,GT3,T,2,1,home,mother,1,1,3,no,yes,no,no,yes,yes,yes,no,5,4,5,0,3,5
142,F,15,U,GT3,T,1,1,course,father,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,4,2,0,3,30
143,F,15,U,GT3,T,3,2,home,father,1,2,3,no,yes,no,no,yes,yes,yes,no,3,3,2,0,2,13
144,F,15,U,GT3,T,1,2,course,mother,1,2,0,no,yes,yes,no,no,yes,yes,no,4,3,2,2,2,32
145,M,16,U,GT3,T,4,4,course,mother,1,1,0,no,yes,no,no,yes,no,yes,yes,3,3,2,0,3,13
146,M,15,U,LE3,A,2,1,course,mother,4,1,3,no,no,no,no,yes,yes,yes,no,4,5,5,0,7,27
147,M,18,U,LE3,T,1,1,course,mother,1,1,3,no,no,no,no,yes,no,yes,yes,2,3,5,0,7,11
148,M,16,U,LE3,T,2,1,course,mother,1,1,1,no,no,no,yes,yes,yes,no,yes,4,4,4,6,8,39
149,F,15,R,GT3,T,3,3,reputation,other,2,3,2,no,yes,yes,yes,yes,yes,yes,yes,4,2,1,8,5,30
150,M,19,U,GT3,T,3,2,home,mother,1,1,3,no,yes,no,no,yes,no,yes,yes,4,5,4,0,2,5
151,F,17,U,GT3,T,4,4,course,mother,1,1,0,yes,yes,no,no,yes,yes,no,yes,4,2,1,0,2,34
152,M,15,R,GT3,T,2,3,course,mother,1,2,0,yes,no,yes,yes,yes,yes,no,no,4,4,4,2,2,27
153,M,17,R,LE3,T,1,2,reputation,mother,1,1,0,no,no,no,no,yes,yes,no,no,2,2,2,8,6,41
154,F,18,R,GT3,T,1,1,course,mother,3,1,3,no,yes,no,yes,no,yes,no,no,5,2,5,6,6,27
155,M,16,R,GT3,T,2,2,course,mother,3,1,0,no,no,no,no,no,yes,no,no,4,2,2,2,3,47
156,M,16,U,GT3,T,3,3,course,father,1,2,1,no,yes,yes,no,yes,yes,yes,yes,4,5,5,4,8,34
157,M,17,R,LE3,T,2,1,course,mother,2,1,2,no,no,no,yes,yes,no,yes,yes,3,3,2,0,4,13
158,M,15,R,GT3,T,3,2,course,mother,2,2,2,yes,yes,no,no,yes,yes,yes,yes,4,4,4,6,5,21
159,M,16,U,LE3,T,1,2,course,mother,2,1,1,no,no,no,yes,yes,yes,no,no,4,4,4,0,6,7
160,M,17,U,GT3,T,1,3,course,father,1,1,0,no,no,no,no,yes,no,yes,no,5,3,3,2,5,30
161,M,17,R,LE3,T,1,1,course,mother,4,2,3,no,no,no,yes,yes,no,no,yes,5,3,5,0,6,20
162,M,16,U,GT3,T,3,2,course,mother,2,1,1,no,yes,no,yes,no,no,no,no,4,5,2,16,2,35
163,M,16,U,GT3,T,2,2,course,father,1,2,0,no,no,no,no,yes,no,yes,no,4,3,5,4,6,30
164,F,16,U,GT3,T,4,2,home,father,1,2,0,no,no,yes,no,yes,yes,yes,yes,4,2,3,0,2,45
165,F,16,U,GT3,T,2,2,home,mother,1,2,0,no,yes,yes,no,no,yes,yes,no,5,1,5,0,2,13
166,F,16,U,GT3,T,4,4,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,yes,4,4,2,0,2,42
167,M,16,U,GT3,T,3,4,course,father,3,1,2,no,yes,no,yes,no,yes,yes,no,3,4,5,0,6,11
168,M,16,U,GT3,T,1,0,reputation,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,3,2,2,2,44
169,M,17,U,LE3,T,4,4,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,4,4,0,4,34
170,F,16,U,GT3,T,1,3,home,mother,1,2,3,no,no,no,yes,no,yes,yes,yes,4,3,5,0,2,15
171,F,16,U,LE3,T,3,3,reputation,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,no,4,4,5,4,2,30
172,M,17,U,LE3,T,4,3,course,mother,2,2,0,no,no,yes,yes,yes,yes,yes,no,4,4,4,4,8,28
173,F,16,U,GT3,T,2,2,reputation,mother,2,2,0,no,no,yes,yes,no,yes,yes,no,3,4,4,2,5,37
174,M,17,U,GT3,T,3,3,reputation,father,1,2,0,no,no,no,yes,no,yes,yes,no,4,3,4,4,5,17
175,M,16,R,GT3,T,4,2,other,mother,1,1,0,no,yes,no,yes,yes,yes,yes,yes,4,3,3,10,7,27
176,M,17,U,GT3,T,4,3,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,5,2,3,4,2,31
177,M,16,U,GT3,T,4,3,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,3,4,3,10,5,25
178,M,16,U,GT3,T,3,3,home,mother,1,2,0,no,no,yes,yes,yes,yes,yes,yes,4,2,3,2,3,37
179,F,17,U,GT3,T,2,4,reputation,father,1,2,0,no,yes,no,yes,yes,yes,no,no,5,4,2,0,5,50
180,F,16,U,GT3,T,3,2,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,1,2,2,14,3,37
181,M,17,U,GT3,T,3,3,other,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,4,3,4,12,5,35
182,M,16,U,GT3,T,1,2,other,mother,1,1,0,no,yes,yes,yes,yes,yes,yes,yes,3,3,3,2,3,34
183,M,16,U,LE3,T,2,1,course,mother,1,2,0,no,no,yes,yes,yes,yes,yes,yes,4,2,3,0,3,45
184,F,17,U,GT3,A,3,3,reputation,mother,1,2,0,no,yes,no,no,no,yes,yes,yes,3,3,3,6,4,24
185,M,17,R,GT3,T,1,2,home,mother,1,2,0,no,no,no,no,yes,yes,no,no,3,1,3,4,6,27
186,F,16,U,GT3,T,2,3,course,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,3,3,10,2,36
187,F,17,U,GT3,T,1,1,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,5,3,3,0,2,25
188,M,17,U,GT3,T,1,2,other,other,2,2,0,no,no,yes,yes,no,yes,yes,no,4,4,4,12,9,23
189,M,16,R,GT3,T,3,3,reputation,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,4,3,2,8,7,27
190,M,16,U,GT3,T,2,3,home,father,2,1,0,no,no,no,no,yes,yes,yes,no,5,3,3,0,2,41
191,F,17,U,LE3,T,2,4,course,father,1,2,0,no,no,no,yes,yes,yes,yes,yes,4,3,2,0,2,44
192,M,17,U,GT3,T,4,4,home,mother,1,1,0,no,no,no,no,yes,yes,yes,no,5,2,3,4,3,48
193,M,16,R,LE3,T,3,3,home,father,3,1,0,no,yes,yes,yes,yes,yes,yes,no,3,3,4,8,8,28
194,F,16,U,LE3,T,4,4,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,5,2,0,3,28
195,F,16,U,GT3,T,4,3,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,5,2,6,48
196,F,16,U,GT3,T,2,3,reputation,mother,1,2,0,yes,yes,yes,yes,yes,yes,no,no,4,4,3,6,4,28
197,F,17,U,GT3,T,1,1,course,mother,1,2,0,no,yes,yes,no,no,yes,no,no,4,4,4,4,4,28
198,F,17,R,GT3,T,2,2,reputation,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,5,3,2,18,3,19
199,F,16,R,GT3,T,2,2,reputation,mother,2,4,0,no,yes,yes,yes,no,yes,yes,no,5,3,5,6,2,31
200,F,16,U,GT3,A,3,1,course,mother,1,2,3,no,yes,yes,no,yes,yes,yes,no,2,3,3,5,4,21
201,F,16,U,GT3,T,4,3,other,mother,1,2,0,no,no,yes,yes,yes,yes,yes,yes,1,3,2,10,2,36
202,F,16,U,GT3,T,1,1,home,mother,2,1,0,no,yes,yes,no,yes,yes,no,no,4,3,2,6,5,28
203,F,17,R,GT3,T,4,3,reputation,mother,2,3,0,no,yes,yes,yes,yes,yes,yes,yes,4,4,2,6,2,21
204,F,19,U,GT3,T,3,3,reputation,other,1,4,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,10,3,24
205,M,17,U,LE3,T,4,4,home,mother,1,2,0,no,yes,yes,no,yes,yes,yes,yes,5,3,5,13,9,37
206,F,16,U,GT3,A,2,2,reputation,mother,1,2,0,yes,yes,yes,no,yes,yes,yes,no,3,3,4,0,2,39
207,M,18,U,GT3,T,2,2,home,mother,1,2,1,no,yes,yes,yes,yes,yes,yes,no,4,4,4,15,6,21
208,F,17,R,LE3,T,4,4,other,mother,1,1,0,no,yes,yes,no,yes,yes,no,no,5,2,1,12,3,28
209,F,17,U,LE3,T,3,2,reputation,mother,2,2,0,no,no,yes,no,yes,yes,yes,no,4,4,4,2,4,44
210,F,17,U,GT3,T,4,3,reputation,mother,1,2,2,no,no,yes,no,yes,yes,yes,yes,3,4,5,22,6,16
211,M,18,U,LE3,T,3,3,home,father,1,2,1,no,yes,yes,no,yes,yes,yes,no,3,2,4,13,6,20
212,F,17,U,GT3,T,2,3,home,father,2,1,0,no,yes,yes,no,yes,yes,no,no,3,3,3,3,5,22
213,F,17,U,GT3,T,2,2,course,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,4,2,29
214,F,17,R,GT3,T,2,1,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,2,5,2,3,18
215,F,17,U,GT3,T,1,1,reputation,mother,1,3,1,no,yes,no,yes,yes,yes,no,yes,4,3,4,0,2,11
216,F,16,U,GT3,T,2,3,other,mother,1,2,0,yes,no,no,no,yes,yes,yes,no,2,3,1,2,2,49
217,M,18,U,GT3,T,2,2,home,mother,2,2,0,no,yes,yes,no,yes,yes,yes,no,3,3,3,0,10,38
218,F,16,U,GT3,T,4,4,home,mother,1,3,0,no,yes,no,yes,no,yes,yes,no,5,3,2,0,2,40
219,F,18,R,GT3,T,3,1,reputation,mother,1,2,1,no,no,no,yes,yes,yes,yes,yes,5,3,3,16,2,24
220,F,17,U,GT3,T,3,2,course,mother,1,2,0,no,no,no,yes,no,yes,yes,no,5,3,4,10,4,46
221,M,17,U,LE3,T,2,3,reputation,father,1,2,0,no,yes,yes,no,no,yes,yes,no,5,3,3,2,4,35
